oxygen_use_class	n_MAGs_all_quality_filtered	n_MAGs_analysis_set	n_fastANI95_clusters	n_exposed_samples	n_reference_samples	mean_exposed_summed_relative_abundance_percent_MAG_level	mean_reference_summed_relative_abundance_percent_MAG_level	median_exposed_summed_relative_abundance_percent_MAG_level	median_reference_summed_relative_abundance_percent_MAG_level	mag_level_mannwhitney_u	mag_level_p_value	cluster_sum_mannwhitney_u	cluster_sum_p_value	cluster_max_mannwhitney_u	cluster_max_p_value
Predicted anaerobe	1935	1750	280	47	18	71.8328442124851	73.25536176116665	74.03711150350009	73.94811273050003	421.0	0.9824559525111343	421.0	0.9824559525111343	359.0	0.3519006719157689
Facultative/other	38	28	8	47	18	0.7289340514574468	0.10965268471111111	0.1585776874	0.060163758799999995	597.0	0.010925744105273945	597.0	0.010925744105273945	587.0	0.01646798509219056
