Source Table	Source Label	Method	Feature Family	Predictor	Term	Feature	Effect	Se	Ci Low	Ci High	P value	FDR q value	Support Class
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_622.931465733	s__GGB9198_SGB14137	9.60536456696896	0.916282240166182	7.809451376243244	11.401277757694677	8.42908468900258e-10	1.92266295832362e-06	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_625.206843718	s__Lachnoclostridium_sp_An138	9.87082610943151	0.942381715249297	8.023757947542888	11.717894271320132	8.5534629707837e-10	1.92266295832362e-06	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOA	fecal_PFOA0.417040359	s__GGB4745_SGB6570	7.98890153266546	0.750480094371944	6.51796054769645	9.45984251763447	6.41303261132292e-10	1.98210805434463e-06	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFHxS	fecal_PFHxS5.768690416	s__GGB4745_SGB6570	9.56290251420556	0.747346167278031	8.098104026340618	11.0277010020705	1.78285791761185e-10	2.37369703150842e-06	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFHxS	fecal_PFHxS0.947633434	s__Coprococcus_phoceensis	10.438022990236	0.852987558069265	8.76616737642024	12.10987860405176	3.68098262622896e-10	2.55923510528992e-06	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFHxS	fecal_PFHxS0.946733668	s__GGB4745_SGB6570	9.25909446662556	0.758683347291774	7.772075105933683	10.746113827317437	3.84442707719681e-10	2.55923510528992e-06	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	fecal_PFOS_62_derived_tertile	fecal_PFOS_62_derived_tertilelow	s__GGB9759_SGB15370	-4.7022257085393				4.2961309762681e-09	2.72374703895397e-06	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_629.791996047	s__GGB9778_SGB15398	7.77806064939757	0.766539065207078	6.275644081591698	9.280477217203444	1.49964815445282e-09	3.09002502225003e-06	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOA	fecal_PFOA1.133299285	s__Lachnoclostridium_sp_An138	10.0190912615784	1.00055732860558	8.057998897511462	11.980183625645337	1.89214537874712e-09	5.19835407054459e-06	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	PFOA_derived_tertile	PFOA_derived_tertilemid	s__Ruminococcaceae_bacterium_AM53_2BH	-2.99235331956653				9.63222695108287e-09	6.10683188698654e-06	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFHxS	fecal_PFHxS1.047959184	s__Coprococcus_phoceensis	9.45045002406714	0.831510314367844	7.820689807906165	11.080210240228114	1.20403348225698e-09	6.41220071310779e-06	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	PFOS_branched_MP11_derived_tertile	PFOS_branched_MP11_derived_tertilelow	s__GGB3612_SGB4882	-6.33100672823358				1.33719483143171e-08	8.47781523127701e-06	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	fecal_PFOA_derived_tertile	fecal_PFOA_derived_tertilehigh	s__Dysosmobacter_SGB15052	-6.44870670545244				1.48658630012993e-08	9.42495714282378e-06	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	s__Clostridiaceae_unclassified_SGB4771	4.2844550375917				2.81913369394662e-08	1.09137568095895e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	k_PFHpS_derived_tertile	k_PFHpS_derived_tertilehigh	s__Clostridiaceae_unclassified_SGB4771	4.2844550375917				2.81913369394662e-08	1.09137568095895e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	s__Clostridiaceae_unclassified_SGB4769	-2.94564497520243				5.0189698517951e-08	1.09137568095895e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	k_PFHpS_derived_tertile	k_PFHpS_derived_tertilehigh	s__Clostridiaceae_unclassified_SGB4769	-2.94564497520243				5.0189698517951e-08	1.09137568095895e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	s__GGB3321_SGB4394	-4.65275406298706				5.16423823797611e-08	1.09137568095895e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	k_PFHpS_derived_tertile	k_PFHpS_derived_tertilehigh	s__GGB3321_SGB4394	-4.65275406298706				5.16423823797611e-08	1.09137568095895e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_62423.3063989	s__GGB9778_SGB15398	6.9572217059298	0.750927805742404	5.485403206674688	8.429040205184911	7.25088257650195e-09	1.37911786605067e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFHxS	fecal_PFHxS0.397698849	s__GGB4745_SGB6570	7.7049165206279	0.720950713122779	6.291853122907253	9.117979918348546	3.18129157631524e-09	1.41185720156871e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_626.370926022	s__GGB4745_SGB6570	6.62300362100188	0.72826733083079	5.195599652573532	8.050407589430229	9.9437688782881e-09	1.64015065107867e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_629.791996047	s__GGB100505_SGB209407	6.41362320082262	0.705269712086028	5.031294565134005	7.795951836511235	9.94995541785165e-09	1.64015065107867e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_620.739869935	s__GGB9198_SGB14137	9.29742815161631	1.03000737598302	7.278613694689591	11.31624260854303	1.12810694398798e-08	1.74334826856543e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	elim_k_PFHxS_derived_tertile	elim_k_PFHxS_derived_tertilehigh	s__Veillonella_rogosae	-6.62281770182658				3.005938914173e-08	1.90576527158568e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	k_PFHxS_derived_tertile	k_PFHxS_derived_tertilehigh	s__Veillonella_rogosae	-6.62281770182658				3.005938914173e-08	1.90576527158568e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	HL_PFHxS_derived_tertile	HL_PFHxS_derived_tertilelow	s__Veillonella_rogosae	-6.62990984971358				3.04520435499707e-08	1.93065956106815e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	s__Mediterraneibacter_glycyrrhizinilyticus	4.88208933724074				1.22188032965704e-07	1.9366803225064e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	k_PFHpS_derived_tertile	k_PFHpS_derived_tertilehigh	s__Mediterraneibacter_glycyrrhizinilyticus	4.88208933724074				1.22188032965704e-07	1.9366803225064e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOA	fecal_PFOA0.566476979	s__GGB4745_SGB6570	6.7670560817508	0.745281476816768	5.306304387189934	8.227807776311666	1.02126641082424e-08	2.52518332740402e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	PFOS_branchedMP2_61_derived_tertile	PFOS_branchedMP2_61_derived_tertilelow	s__GGB3612_SGB4882	-5.42588960964486				4.46406040111525e-08	2.53772976171403e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	PFOS_branchedMP2_61_derived_tertile	PFOS_branchedMP2_61_derived_tertilelow	s__Streptococcus_australis	9.0114930701689				8.00545666155846e-08	2.53772976171403e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	HL_PFOA_derived_tertile	HL_PFOA_derived_tertilelow	s__Dysosmobacter_SGB15051	4.63065892132384				4.0216238792595e-08	2.54970953945052e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	PFOS_branchedMP3_4_51_derived_tertile	PFOS_branchedMP3_4_51_derived_tertilelow	s__GGB3612_SGB4882	-5.45457191616683				4.45263679018017e-08	2.55292327832014e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	PFOS_branchedMP3_4_51_derived_tertile	PFOS_branchedMP3_4_51_derived_tertilelow	s__Streptococcus_australis	9.05538944183555				8.05338573602568e-08	2.55292327832014e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	elim_k_PFOA_derived_tertile	elim_k_PFOA_derived_tertilehigh	s__Dysosmobacter_SGB15051	4.62475355195783				4.06955018821656e-08	2.5800948193293e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	k_PFOA_derived_tertile	k_PFOA_derived_tertilehigh	s__Dysosmobacter_SGB15051	4.62475355195783				4.06955018821656e-08	2.5800948193293e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOA	fecal_PFOA1.033596838	s__GGB100505_SGB209407	6.24129668722076	0.694436514597229	4.880201118610191	7.602392255831329	1.21356225641111e-08	2.72786730472919e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	HL_PFHxS_derived_tertile	HL_PFHxS_derived_tertilelow	s__Merdimmobilis_hominis	-3.13372397081465				1.21711649566963e-07	2.80341069859079e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	HL_PFHxS_derived_tertile	HL_PFHxS_derived_tertilelow	s__Clostridiaceae_unclassified_SGB4769	-2.86985616093892				1.32653503087892e-07	2.80341069859079e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	elim_k_PFHxS_derived_tertile	elim_k_PFHxS_derived_tertilehigh	s__Merdimmobilis_hominis	-3.12669038036368				1.21021670293528e-07	2.81837855164746e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	k_PFHxS_derived_tertile	k_PFHxS_derived_tertilehigh	s__Merdimmobilis_hominis	-3.12669038036368				1.21021670293528e-07	2.81837855164746e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	elim_k_PFHxS_derived_tertile	elim_k_PFHxS_derived_tertilehigh	s__Clostridiaceae_unclassified_SGB4769	-2.86284508610786				1.33361761118965e-07	2.81837855164746e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	k_PFHxS_derived_tertile	k_PFHxS_derived_tertilehigh	s__Clostridiaceae_unclassified_SGB4769	-2.86284508610786				1.33361761118965e-07	2.81837855164746e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	Include_elimination_rate_analysis	Include_elimination_rate_analysisTRUE	s__Phocaeicola_massiliensis	3.68306366799423				7.73455341824306e-08	2.84662485498771e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	n_k_available	n_k_available8	s__Phocaeicola_massiliensis	3.68306366799423				7.73455341824306e-08	2.84662485498771e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	Include_elimination_rate_analysis	Include_elimination_rate_analysisTRUE	s__Oscillibacter_SGB15077	-6.38674151589503				1.28734074613351e-07	2.84662485498771e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	n_k_available	n_k_available8	s__Oscillibacter_SGB15077	-6.38674151589503				1.28734074613351e-07	2.84662485498771e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	Include_elimination_rate_analysis	Include_elimination_rate_analysisTRUE	s__Yanshouia_hominis	-2.24225523665746				1.346983369868e-07	2.84662485498771e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	n_k_available	n_k_available8	s__Yanshouia_hominis	-2.24225523665746				1.346983369868e-07	2.84662485498771e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	fecal_PFNA_derived_tertile	fecal_PFNA_derived_tertilehigh	s__GGB9537_SGB14940	5.47462571040341				5.12126227045366e-08	3.24688027946762e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_L_PFOS	fecal_L_PFOS14.92918132	s__GGB9634_SGB15097	12.7548353228258	0.771642162733854	11.242416683867447	14.267253961784153	1.27429271661049e-09	3.49609427391687e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_L_PFOS	fecal_L_PFOS60.31945838	s__GGB9634_SGB15097	12.4655809446342	0.800562485784642	10.896478472496302	14.034683416772097	2.53326044310417e-09	3.49609427391687e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_L_PFOS	fecal_L_PFOS25.14525692	s__GGB9634_SGB15097	12.1393489324948	0.805820240415806	10.55994126127982	13.71875660370978	3.70005767905365e-09	3.49609427391687e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_L_PFOS	fecal_L_PFOS3.181863727	s__Bacteroides_faecis	12.9849113077287	0.901929674670708	11.217129145374113	14.752693470083287	6.20850349096167e-09	3.49609427391687e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_L_PFOS	fecal_L_PFOS27.18236776	s__bacterium_210917_SL_2_15	11.0708384040133	0.770161042665433	9.56132276038905	12.580354047637549	6.31811212148607e-09	3.49609427391687e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_genus	fecal_PFNA	fecal_PFNA0.14375	g__Alistipes	-13.4896755185008	1.42721130420243	-16.28700967473756	-10.692341362264038	5.87566969160719e-12	4.74871624475693e-08	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	Include_elimination_rate_analysis	Include_elimination_rate_analysisTRUE	g__Oxalobacter	2.93209858508788				7.10235752463276e-09	3.18895852856011e-06	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	n_k_available	n_k_available8	g__Oxalobacter	2.93209858508788				7.10235752463276e-09	3.18895852856011e-06	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	PFOS_branched_MP11_derived_tertile	PFOS_branched_MP11_derived_tertilelow	g__GGB3612	-6.366510875276				1.41572976150052e-08	6.35662662913732e-06	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	PFOS_branchedMP2_61_derived_tertile	PFOS_branchedMP2_61_derived_tertilelow	g__GGB3612	-5.51374345585556				4.5598446516239e-08	2.04737024857913e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	PFOS_branchedMP3_4_51_derived_tertile	PFOS_branchedMP3_4_51_derived_tertilelow	g__GGB3612	-5.53063933755612				4.70966628252919e-08	2.11464016085561e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	g__Oxalobacter	3.63284437281581				5.29576946940686e-08	2.37780049176368e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	k_PFHpS_derived_tertile	k_PFHpS_derived_tertilehigh	g__Oxalobacter	3.63284437281581				5.29576946940686e-08	2.37780049176368e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_genus	fecal_PFOS_62	fecal_PFOS_629.486921529	g__GGB9198	10.1871644351557	1.00822622650311	8.211041031209604	12.163287839101795	1.61574067409279e-09	2.42756442413813e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_genus	fecal_PFOS_62	fecal_PFOS_62423.3063989	g__GGB9778	8.27844593956216	0.845023228273619	6.622200412145866	9.934691466978453	2.77261655432372e-09	2.42756442413813e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	fecal_PFNA_derived_tertile	fecal_PFNA_derived_tertilehigh	g__GGB9537	5.42384192933708				5.46731439979947e-08	2.45482416550996e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_genus	fecal_PFOS_62	fecal_PFOS_625.115384615	g__Alistipes	-13.4846960297719	1.42928736735448	-16.286099269786682	-10.68329278975712	5.31532882318115e-09	3.10255743409084e-05	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_genus	fecal_PFOS_62	fecal_PFOS_622.931465733	g__GGB9198	9.40703249136485	1.02197545406142	7.403960601404467	11.410104381325233	8.10032384152707e-09	3.54611926972451e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	PFOS_derived_tertile	PFOS_derived_tertilemid	g__GGB3612	-3.6222219684349				1.64167514267503e-07	4.06453781807476e-05	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_genus	PFOS_derived_tertile	PFOS_derived_tertilemid	g__Victivallis	-3.49465362904009				1.81048455148096e-07	4.06453781807476e-05	FDR_lt_0.05
