Feature Set	Prediction Repeat	Fold	Tuned Mtry	Tuned Min Node Size	Inner Rmse
agora2_exchange	23	5	155	3	0.997751300209897
agora2_exchange	24	1	27	10	0.892199739132743
agora2_exchange	24	2	27	10	0.835259816542693
agora2_exchange	24	3	77	10	0.936441134645797
agora2_exchange	24	4	27	10	1.08577156665132
agora2_exchange	24	5	27	5	0.878752078199009
agora2_exchange	25	1	27	5	0.85693947931599
agora2_exchange	25	2	259	3	0.811173930359356
agora2_exchange	25	3	77	5	0.919334237360954
agora2_exchange	25	4	27	10	0.820854286777416
agora2_exchange	25	5	27	3	0.962082390620911
agora2_exchange	26	1	27	10	0.949939552233069
agora2_exchange	26	2	27	3	0.836399715024489
agora2_exchange	26	3	77	3	0.963534860812074
agora2_exchange	26	4	27	10	0.935634079449531
agora2_exchange	26	5	27	10	1.00668838611072
agora2_exchange	27	1	27	5	0.924357123086529
agora2_exchange	27	2	27	3	0.886007043047033
agora2_exchange	27	3	27	3	0.936238020682108
agora2_exchange	27	4	259	5	0.958676416964202
agora2_exchange	27	5	27	10	1.0172422268648
agora2_exchange	28	1	27	10	0.818290208801189
agora2_exchange	28	2	259	10	0.9494544809138
agora2_exchange	28	3	27	10	0.954932219157014
agora2_exchange	28	4	77	5	1.09731156515598
agora2_exchange	28	5	155	10	0.794655623634849
agora2_exchange	29	1	259	3	0.841351051181655
agora2_exchange	29	2	155	10	0.847808243527997
agora2_exchange	29	3	27	10	0.875087203178348
agora2_exchange	29	4	155	10	0.934761255814218
agora2_exchange	29	5	155	3	0.912307589223586
agora2_exchange	30	1	259	3	0.861172184421343
agora2_exchange	30	2	27	10	0.847929259092735
agora2_exchange	30	3	155	5	0.934034036050763
agora2_exchange	30	4	27	3	0.874536697564624
agora2_exchange	30	5	155	10	0.839849034549676
agora2_exchange	31	1	77	10	0.829505438018163
agora2_exchange	31	2	27	3	0.897514196565385
agora2_exchange	31	3	27	5	0.823954168163146
agora2_exchange	31	4	27	3	0.928665138108149
agora2_exchange	31	5	27	10	1.00639105077898
agora2_exchange	32	1	155	10	0.988434467863806
agora2_exchange	32	2	27	10	0.994483871300061
agora2_exchange	32	3	27	10	0.979111430626778
agora2_exchange	32	4	155	10	0.880390803368712
agora2_exchange	32	5	27	10	0.94349259713524
agora2_exchange	33	1	27	10	0.816097544373553
agora2_exchange	33	2	27	10	0.938248467125668
agora2_exchange	33	3	77	10	0.952555810553958
agora2_exchange	33	4	155	10	0.871473162199567
agora2_exchange	33	5	155	5	0.943085539808897
agora2_exchange	34	1	27	10	1.03375914510143
agora2_exchange	34	2	155	10	0.939096757637269
agora2_exchange	34	3	77	10	0.776029232128026
